,Current Injected (pA),,,,,,,,,,,,
Time (ms),700,750,800,850,900,,,,,,,,
0.10,-5.94E-02,-5.93E-02,-5.96E-02,-5.94E-02,-5.96E-02,,,,,,,,
0.20,-5.95E-02,-5.92E-02,-5.95E-02,-5.94E-02,-5.92E-02,,,,,,,,
0.30,-5.96E-02,-5.94E-02,-5.96E-02,-5.94E-02,-5.94E-02,,,,,,,,
0.40,-5.95E-02,-5.92E-02,-5.96E-02,-5.94E-02,-5.96E-02,,,,,,,,
0.50,-5.96E-02,-5.93E-02,-5.94E-02,-5.94E-02,-5.94E-02,,,,,,,,
0.60,-5.95E-02,-5.93E-02,-5.97E-02,-5.93E-02,-5.95E-02,,,,,,,,
0.70,-5.96E-02,-5.94E-02,-5.95E-02,-5.95E-02,-5.95E-02,,,,,,,,
0.80,-5.96E-02,-5.93E-02,-5.96E-02,-5.93E-02,-5.94E-02,,,,,,,,
0.90,-5.95E-02,-5.94E-02,-5.94E-02,-5.95E-02,-5.96E-02,,,,,,,,
1.00,-5.97E-02,-5.93E-02,-5.94E-02,-5.94E-02,-5.96E-02,,,,,,,,
1.10,-5.95E-02,-5.93E-02,-5.95E-02,-5.94E-02,-5.94E-02,,,,,,,,
1.20,-5.96E-02,-5.92E-02,-5.94E-02,-5.94E-02,-5.95E-02,,,,,,,,
1.30,-5.96E-02,-5.93E-02,-5.94E-02,-5.95E-02,-5.94E-02,,,,,,,,
1.40,-5.97E-02,-5.92E-02,-5.94E-02,-5.93E-02,-5.96E-02,,,,,,,,
1.50,-5.95E-02,-5.93E-02,-5.94E-02,-5.94E-02,-5.94E-02,,,,,,,,
1.60,-5.96E-02,-5.93E-02,-5.94E-02,-5.94E-02,-5.96E-02,,,,,,,,
1.70,-5.96E-02,-5.92E-02,-5.94E-02,-5.94E-02,-5.95E-02,,,,,,,,
1.80,-5.97E-02,-5.93E-02,-5.94E-02,-5.93E-02,-5.94E-02,,,,,,,,
1.90,-5.95E-02,-5.93E-02,-5.94E-02,-5.93E-02,-5.95E-02,,,,,,,,
2.00,-5.95E-02,-5.93E-02,-5.95E-02,-5.94E-02,-5.96E-02,,,,,,,,
2.10,-5.94E-02,-5.92E-02,-5.95E-02,-5.93E-02,-5.96E-02,,,,,,,,
2.20,-5.95E-02,-5.93E-02,-5.94E-02,-5.93E-02,-5.94E-02,,,,,,,,
2.30,-5.94E-02,-5.94E-02,-5.93E-02,-5.94E-02,-5.96E-02,,,,,,,,
2.40,-5.95E-02,-5.93E-02,-5.94E-02,-5.93E-02,-5.95E-02,,,,,,,,
2.50,-5.97E-02,-5.92E-02,-5.95E-02,-5.94E-02,-5.93E-02,,,,,,,,
2.60,-5.95E-02,-5.93E-02,-5.95E-02,-5.93E-02,-5.95E-02,,,,,,,,
2.70,-5.95E-02,-5.93E-02,-5.95E-02,-5.93E-02,-5.94E-02,,,,,,,,
2.80,-5.95E-02,-5.94E-02,-5.94E-02,-5.94E-02,-5.94E-02,,,,,,,,
2.90,-5.97E-02,-5.93E-02,-5.94E-02,-5.93E-02,-5.94E-02,,,,,,,,
3.00,-5.94E-02,-5.95E-02,-5.94E-02,-5.93E-02,-5.94E-02,,,,,,,,
3.10,-5.94E-02,-5.93E-02,-5.94E-02,-5.94E-02,-5.95E-02,,,,,,,,
3.20,-5.94E-02,-5.94E-02,-5.95E-02,-5.93E-02,-5.95E-02,,,,,,,,
3.30,-5.95E-02,-5.94E-02,-5.96E-02,-5.93E-02,-5.95E-02,,,,,,,,
3.40,-5.95E-02,-5.94E-02,-5.95E-02,-5.94E-02,-5.96E-02,,,,,,,,
3.50,-5.96E-02,-5.94E-02,-5.94E-02,-5.92E-02,-5.94E-02,,,,,,,,
3.60,-5.96E-02,-5.93E-02,-5.94E-02,-5.93E-02,-5.94E-02,,,,,,,,
3.70,-5.95E-02,-5.92E-02,-5.94E-02,-5.93E-02,-5.94E-02,,,,,,,,
3.80,-5.95E-02,-5.93E-02,-5.94E-02,-5.93E-02,-5.93E-02,,,,,,,,
3.90,-5.95E-02,-5.92E-02,-5.95E-02,-5.93E-02,-5.93E-02,,,,,,,,
4.00,-5.96E-02,-5.93E-02,-5.95E-02,-5.94E-02,-5.93E-02,,,,,,,,
4.10,-5.96E-02,-5.93E-02,-5.95E-02,-5.94E-02,-5.95E-02,,,,,,,,
4.20,-5.94E-02,-5.93E-02,-5.94E-02,-5.93E-02,-5.94E-02,,,,,,,,
4.30,-5.96E-02,-5.93E-02,-5.94E-02,-5.93E-02,-5.94E-02,,,,,,,,
4.40,-5.95E-02,-5.93E-02,-5.94E-02,-5.93E-02,-5.94E-02,,,,,,,,
4.50,-5.96E-02,-5.91E-02,-5.94E-02,-5.93E-02,-5.95E-02,,,,,,,,
4.60,-5.95E-02,-5.92E-02,-5.94E-02,-5.92E-02,-5.95E-02,,,,,,,,
4.70,-5.95E-02,-5.92E-02,-5.95E-02,-5.93E-02,-5.95E-02,,,,,,,,
4.80,-5.95E-02,-5.93E-02,-5.94E-02,-5.93E-02,-5.95E-02,,,,,,,,
4.90,-5.96E-02,-5.92E-02,-5.93E-02,-5.92E-02,-5.94E-02,,,,,,,,
